Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,199,3.81,08/08/2011 12:00:00 AM
ABES L W-30,SUMMIT,TIGER TROUT,2392,2.94,08/01/2011 12:00:00 AM
ABES RES,SEVIER,BROOK TROUT,102,5.23,08/30/2011 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,2998,3.81,08/08/2011 12:00:00 AM
ADAMS RESERVOIR,DAVIS,BULLHEAD CHANNEL CAT,8000,3.95,09/13/2011 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,896,7.8,10/18/2011 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1700,10.36,10/18/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,651,10.130000000000001,07/21/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,751,10.51,07/27/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,10.16,08/01/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,10.33,08/15/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,10.33,08/29/2011 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,11.37,09/08/2011 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,651,10.130000000000001,07/21/2011 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,732,10.51,07/27/2011 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,901,10.16,08/01/2011 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,10.33,08/15/2011 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,10.33,08/29/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,844,10.23,06/30/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,844,10.23,06/30/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2012,2.88,07/07/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,453,11.21,07/15/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,385,10.9,07/15/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,850,10.64,07/27/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,819,10.98,08/10/2011 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,803,10.23,08/29/2011 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,800,10.45,06/30/2011 12:00:00 AM
"ANSON L, UPPER GR-10",DAGGETT,TIGER TROUT,200,10.86,08/08/2011 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,549,10.96,06/28/2011 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6899,4.85,07/18/2011 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,557,10.79,07/19/2011 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,592,10.98,08/09/2011 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5044,1.63,09/14/2011 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW ALBINO,250,10.210000000000001,05/16/2011 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,457,9.630000000000001,05/27/2011 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,414,9.75,06/13/2011 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,414,10.28,07/14/2011 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,414,10.28,07/21/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1617,10.26,06/08/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,823,10.09,06/20/2011 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,516,3.07,07/06/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,810,11.11,07/06/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,816,10.79,07/20/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,792,10.68,08/04/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,825,10.75,08/16/2011 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,822,10.23,08/29/2011 12:00:00 AM
AVERETT CYN P,WASATCH,CUTTHROAT,510,1.89,10/10/2011 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1996,8.789999999999999,03/16/2011 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1996,8.789999999999999,03/16/2011 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3037,8.789999999999999,03/16/2011 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1401,10.6,03/01/2011 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1399,10.68,04/20/2011 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,2666,11.6,10/31/2011 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1333,11.6,10/31/2011 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1440,11.6,11/02/2011 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1399,10.6,03/01/2011 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1399,10.68,04/20/2011 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,2880,11.6,11/02/2011 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,1500,9.98,06/03/2011 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,508,3.27,07/28/2011 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,499,9.98,06/03/2011 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,257,3.27,07/28/2011 12:00:00 AM
