Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,200,3.08,07/09/2004 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,3.08,07/09/2004 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2298,2.48,07/06/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,9.779999999999999,06/02/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,578,10.18,06/18/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,601,9.699999999999999,07/02/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,700,10.54,07/12/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,701,9.94,07/30/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,700,10.82,08/13/2004 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,699,10.52,08/27/2004 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,299,9.779999999999999,06/02/2004 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,150,10.18,06/18/2004 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,299,9.699999999999999,07/02/2004 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,301,9.94,07/30/2004 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,151,10.82,08/13/2004 12:00:00 AM
AMLEN L X-99,DUCHESNE,BROOK TROUT,603,2.46,07/07/2004 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1501,10.130000000000001,06/01/2004 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1501,10.71,06/24/2004 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1502,10.6,07/19/2004 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2001,4.3,09/09/2004 12:00:00 AM
ANDREWS #1,SANPETE,BROOK TROUT,50,2.92,08/02/2004 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,801,9.99,05/24/2004 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6047,3.56,04/28/2004 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,3091,2.2,10/18/2004 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,743,8.66,05/26/2004 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,743,9.16,06/09/2004 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,200,8.41,07/03/2004 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,748,9.02,07/08/2004 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,1007,9.81,07/01/2004 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,998,8.619999999999999,07/21/2004 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,305,9.81,07/01/2004 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,300,8.619999999999999,07/21/2004 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1050,9.85,05/18/2004 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1148,9.49,06/04/2004 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,999,10.18,06/14/2004 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,968,9.699999999999999,07/01/2004 12:00:00 AM
