Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,101,2.71,06/25/2018
ABES RES,SEVIER,CUTTHROAT,130,2.07,09/12/2018
ACADEMY MILL RES,SANPETE,TIGER TROUT,3005,2.71,06/25/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,10.37,03/12/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.65,03/19/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1499,9.47,03/28/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1998,9.52,04/16/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,2001,9.52,05/02/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.31,05/14/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.46,06/05/2018
ADAMS RESERVOIR,DAVIS,WIPER,2150,8.35,06/20/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1000,9.53,08/24/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1000,9.63,09/05/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,2001,9.57,10/13/2018
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,10.44,10/23/2018
AMERICAN FK CR,UTAH,RAINBOW,550,10,06/05/2018
AMERICAN FK CR,UTAH,RAINBOW,549,10.39,06/19/2018
AMERICAN FK CR,UTAH,RAINBOW,551,10.39,06/27/2018
AMERICAN FK CR,UTAH,RAINBOW,550,10.77,07/02/2018
AMERICAN FK CR,UTAH,RAINBOW,550,10.28,07/09/2018
AMERICAN FK CR,UTAH,RAINBOW,551,9.87,07/17/2018
AMERICAN FK CR,UTAH,RAINBOW,550,9.91,07/30/2018
AMERICAN FK CR,UTAH,RAINBOW,550,10.28,08/09/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,375,10,06/05/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,377,10.39,06/19/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,375,10.39,06/27/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,376,10.77,07/02/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,375,10.28,07/09/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,374,9.87,07/17/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,373,9.91,07/30/2018
"AMERICAN FK CR, N FK",UTAH,RAINBOW,375,10.28,08/09/2018
AMLEN L X-99,DUCHESNE,BROOK TROUT,600,2.88,06/27/2018
ANDERSON MEADOW,BEAVER,RAINBOW,1699,10.3,06/04/2018
ANDERSON MEADOW,BEAVER,BROOK TROUT,2000,3.03,07/11/2018
ANDERSON MEADOW,BEAVER,RAINBOW,1000,8.68,07/11/2018
ANDERSON MEADOW,BEAVER,RAINBOW,1523,9.3,08/01/2018
