Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,100,2.71,06/26/2017
ABES RES,SEVIER,BROOK TROUT,104,2.29,08/01/2017
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,2.71,06/28/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1499,9.09,03/07/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.31,03/15/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,2500,9.29,04/03/2017
ADAMS RESERVOIR,DAVIS,WIPER,794,8.98,04/06/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.29,04/17/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,100,21.54,04/18/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,100,21.54,04/24/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1999,9.32,05/01/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,2000,9.38,05/15/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,2001,9.28,06/06/2017
ADAMS RESERVOIR,DAVIS,BASS LARGEMOUTH,1498,2.35,08/31/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,2601,9.12,09/12/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.34,09/27/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,2000,9.32,10/10/2017
ADAMS RESERVOIR,DAVIS,BROWN TROUT,504,13.07,10/11/2017
ADAMS RESERVOIR,DAVIS,SUNFISH BLUEGILL,20003,2.88,10/19/2017
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.21,10/23/2017
ADAMS RESERVOIR,DAVIS,BROOK TROUT,493,13.83,12/18/2017
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2305,2.29,07/12/2017
AMERICAN FK CR,UTAH,RAINBOW,1401,9.43,07/11/2017
AMERICAN FK CR,UTAH,RAINBOW,1400,9.63,08/09/2017
"AMERICAN FK CR, N FK",UTAH,RAINBOW,1001,9.43,07/11/2017
"AMERICAN FK CR, N FK",UTAH,RAINBOW,1000,9.63,08/09/2017
ANDERSON MEADOW,BEAVER,RAINBOW,1800,10.22,06/20/2017
ANDERSON MEADOW,BEAVER,BROOK TROUT,2017,2.31,06/20/2017
ANDERSON MEADOW,BEAVER,RAINBOW,1800,9.63,07/19/2017
ANDERSON MEADOW,BEAVER,RAINBOW,1396,9.67,08/09/2017
ANNABELLA RES,SEVIER,RAINBOW,400,9.88,06/12/2017
ASAY CR,GARFIELD,RAINBOW,346,11.21,06/06/2017
ASAY CR,GARFIELD,RAINBOW,665,3.83,06/06/2017
ASAY CR,GARFIELD,RAINBOW,3213,4.12,06/06/2017
ASAY CR,GARFIELD,BROWN TROUT,6127,3.62,06/07/2017
ASAY CR,GARFIELD,RAINBOW,356,10.35,06/27/2017
ASAY CR,GARFIELD,RAINBOW,293,10.39,07/13/2017
ASAY CR,GARFIELD,CUTTHROAT,5335,1.81,09/10/2017
ASPEN MIRROR L,KANE,RAINBOW,836,11.7,05/22/2017
ASPEN MIRROR L,KANE,TIGER TROUT,501,3.76,05/30/2017
ASPEN MIRROR L,KANE,RAINBOW,852,10.72,06/08/2017
ASPEN MIRROR L,KANE,RAINBOW,642,10.71,06/21/2017
ASPEN MIRROR L,KANE,RAINBOW,830,10.35,06/29/2017
ASPEN MIRROR L,KANE,RAINBOW,775,10.22,07/05/2017
ASPEN MIRROR L,KANE,RAINBOW,792,9.98,07/18/2017
ASPEN MIRROR L,KANE,RAINBOW,941,10.15,07/31/2017
ASPEN MIRROR L,KANE,RAINBOW,837,10.84,08/22/2017
AUDRY L RC-45,DUCHESNE,BROOK TROUT,109,2.53,07/09/2017
BAKER RES,WASHINGTON,RAINBOW,3500,9.32,03/15/2017
BAKER RES,WASHINGTON,RAINBOW,3510,9.7,10/02/2017
BAKER SP,BOX ELDER,RAINBOW,327,9.14,03/07/2017
BAKER SP,BOX ELDER,RAINBOW,672,9.27,03/22/2017
BAKER SP,BOX ELDER,RAINBOW,700,9.63,10/11/2017
