Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,203,2.86,07/08/2009 12:00:00 AM
ABES RES,SEVIER,CUTTHROAT,114,1.87,10/07/2009 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,6.3,07/16/2009 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2300,2.71,07/06/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,250,9.869999999999999,06/11/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,502,9.869999999999999,06/15/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,10.44,06/22/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,799,10.210000000000001,07/02/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,699,9.86,07/13/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,9.86,07/20/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,10.47,08/13/2009 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,10.47,08/17/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,504,9.869999999999999,06/11/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,502,9.869999999999999,06/15/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,499,10.44,06/22/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,503,10.210000000000001,07/02/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,9.86,07/20/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,10.47,08/13/2009 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,10.47,08/17/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1666,10.44,06/16/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2028,2.76,06/16/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,844,10.39,07/06/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,832,10.92,07/22/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,844,10.87,08/04/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,820,10.94,08/18/2009 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,476,11.58,09/03/2009 12:00:00 AM
ANDREWS #1,SANPETE,BROOK TROUT,204,3.09,07/14/2009 12:00:00 AM
ANGEL L WR-19,DUCHESNE,CUTTHROAT,980,1.43,09/16/2009 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,1001,9.91,06/04/2009 12:00:00 AM
ANTIMONY L EMW,GARFIELD,RAINBOW,505,3.33,07/02/2009 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,675,10.63,06/09/2009 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,8000,4.21,06/15/2009 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,668,10.37,06/22/2009 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,663,10.39,07/07/2009 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,10287,1.96,10/06/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1003,8.880000000000001,06/05/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,786,9.26,06/19/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1032,9.529999999999999,06/22/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1202,9.64,07/09/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1000,9.84,08/04/2009 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW ALBINO,501,12.49,10/27/2009 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,500,9.59,06/29/2009 12:00:00 AM
