Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,204,3.62,10/11/2006 12:00:00 AM
ABES L W-30,SUMMIT,CUTTHROAT,4022,1.53,10/09/2006 12:00:00 AM
"ABES POND, UPPER",SEVIER,CUTTHROAT,101,1.84,10/02/2006 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,3.53,07/11/2006 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1148,2.61,07/13/2006 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1113,2.88,07/13/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,10,06/06/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,999,10.84,06/21/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,10.77,07/06/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,504,11.16,08/02/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,11.37,08/15/2006 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,11.37,08/23/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,200,10,06/06/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,199,10.84,06/21/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,200,10.77,07/06/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,200,10.77,07/19/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,198,11.16,08/02/2006 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,201,11.37,08/15/2006 12:00:00 AM
AMLEN L X-99,DUCHESNE,BROOK TROUT,600,2.75,07/07/2006 12:00:00 AM
ANDERSON L X-117,DUCHESNE,BROOK TROUT,576,2.75,07/07/2006 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,688,9.69,06/09/2006 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,666,10.4,06/26/2006 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,554,10.3,07/18/2006 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1619,11.26,08/01/2006 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2003,3.22,08/10/2006 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,625,9.869999999999999,05/31/2006 12:00:00 AM
"ANSON L ,EAST GR-13",DAGGETT,BROOK TROUT,720,2.92,07/17/2006 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6003,5.03,06/22/2006 12:00:00 AM
"ASH CR, SOUTH",WASHINGTON,CUTTHROAT,77,2.81,10/17/2006 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,437,10.49,05/24/2006 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,108,10.36,06/26/2006 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,86,10.36,06/26/2006 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,870,10.77,07/27/2006 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,235,9.75,06/29/2006 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,254,10.77,07/19/2006 12:00:00 AM
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2100,2.88,07/12/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1011,9.119999999999999,05/23/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1028,9.699999999999999,06/06/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1055,10.58,06/30/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1006,10.19,07/19/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1157,11.2,07/28/2006 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,503,3.22,08/10/2006 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1000,11.37,08/23/2006 12:00:00 AM
ATWINE L X-64,DUCHESNE,BROOK TROUT,1355,2.88,07/12/2006 12:00:00 AM
AVERETT CYN P,WASATCH,TIGER TROUT,350,3.75,07/20/2006 12:00:00 AM
AZURE (LOCK) L A-11,SUMMIT,GRAYLING ARCTIC,1017,2.86,10/09/2006 12:00:00 AM
BAKER L BR-45,SUMMIT,TIGER TROUT,360,3.56,07/14/2006 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1817,8.800000000000001,05/01/2006 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1730,8.800000000000001,05/01/2006 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1730,8.800000000000001,05/01/2006 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1730,8.800000000000001,05/01/2006 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,713,10.36,02/09/2006 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,709,10.83,03/07/2006 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,391,10.19,09/19/2006 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,525,12.15,11/20/2006 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,450,12.63,12/01/2006 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,711,10.36,02/09/2006 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,709,10.83,03/07/2006 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,391,10.19,09/19/2006 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,525,12.15,11/20/2006 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,450,12.63,12/01/2006 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,1170,10.27,05/25/2006 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,504,2.88,07/10/2006 12:00:00 AM
BARKER RES NCL,GARFIELD,GRAYLING ARCTIC,502,1.66,08/07/2006 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,389,10.27,05/25/2006 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,252,2.88,07/10/2006 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,GRAYLING ARCTIC,502,1.66,08/07/2006 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,1092,3.97,08/01/2006 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,7011,1.88,10/03/2006 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1500,3.62,10/11/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4949,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4949,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4599,7.9,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4949,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5020,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4599,7.9,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4949,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4599,7.9,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4949,7.71,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4599,7.9,04/26/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4958,7.88,04/27/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4958,7.88,04/27/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4980,7.87,04/27/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4958,7.88,04/27/2006 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4958,7.88,04/27/2006 12:00:00 AM
