Water name,County,Species,Quantity,Average length,Date stocked
ADAMS RESERVOIR,DAVIS,RAINBOW,500,11.99,03/18/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,500,11.99,03/21/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,500,11.99,04/01/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,500,10.77,04/15/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,216,19.08,04/16/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,CUTTHROAT,1000,13.17,04/25/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,WIPER,2135,7.9,04/25/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1000,9.93,04/29/2019 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1000,9.53,05/13/2019 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,3318,4.7,02/07/2019 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1507,10.43,02/20/2019 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1000,9.38,04/08/2019 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1000,9.38,04/08/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,1200,8.55,03/25/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,601,8.7,04/04/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,601,9.16,04/15/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,726,9.12,04/30/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,600,9.22,05/08/2019 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,600,9.22,05/20/2019 12:00:00 AM
BEAR L,RICH,CUTTHROAT,40376,7.35,05/13/2019 12:00:00 AM
BEAR L,RICH,CUTTHROAT,40809,7.35,05/14/2019 12:00:00 AM
BEAR L,RICH,CUTTHROAT,10094,7.35,05/14/2019 12:00:00 AM
BEAR L,RICH,CUTTHROAT,41242,7.35,05/15/2019 12:00:00 AM
BEAR L,RICH,CUTTHROAT,40989,7.35,05/16/2019 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,5037,3.53,03/25/2019 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,498,9.83,04/26/2019 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,8000,3.2,04/26/2019 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,5950,3.41,05/06/2019 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,360,9.65,05/22/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,3680,10.46,04/06/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,WALLEYE,69200,0.32,04/09/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,4140,10.46,04/11/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,3680,10.46,04/11/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,3496,10.46,04/12/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,WALLEYE,25000,0.32,04/23/2019 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,TIGER TROUT,10000,4.85,05/15/2019 12:00:00 AM
BLACKSMITH FK,CACHE,RAINBOW,412,13.66,05/20/2019 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,1519,10.35,04/10/2019 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,498,10,05/07/2019 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1755,10.35,04/10/2019 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1752,10.13,04/23/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,216,19.08,02/27/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,216,19.08,02/27/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1001,10.44,03/05/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1499,11.99,03/18/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1501,11.99,04/01/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1500,10.77,04/15/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,WIPER,2011,7.9,04/25/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1729,9.93,04/29/2019 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1000,9.53,05/13/2019 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,RAINBOW,1512,9.62,05/14/2019 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,RAINBOW,980,9.62,05/14/2019 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,935,13.5,04/29/2019 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,4906,7.93,04/29/2019 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,6768,2.43,05/14/2019 12:00:00 AM
BROUGH RES,UINTAH,TIGER TROUT,4360,2.32,05/14/2019 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,840,4.93,05/14/2019 12:00:00 AM
BROWNS DRAW RES,DUCHESNE,RAINBOW,7536,3.83,04/16/2019 12:00:00 AM
BULLOCK RES,UINTAH,MUSKIE TIGER,1600,1.93,05/08/2019 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,999,9.51,03/12/2019 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1232,10.18,04/25/2019 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1008,10.32,05/03/2019 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1008,9.89,05/15/2019 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,76,21,05/01/2019 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,444,15,05/01/2019 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,237,15,05/01/2019 12:00:00 AM
CALDER RES,UINTAH,CUTTHROAT,500,5.07,05/13/2019 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,399,4.93,05/13/2019 12:00:00 AM
CALDER RES,UINTAH,TIGER TROUT,500,2.45,05/13/2019 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,624,10.45,05/16/2019 12:00:00 AM
CALDER RES,UINTAH,BROWN TROUT,1290,2.23,05/16/2019 12:00:00 AM
CAMP KOSTOPAULUS,SALT LAKE,RAINBOW,351,9.52,05/14/2019 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,789,11.99,03/19/2019 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,339,11.99,03/26/2019 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,274,14.44,03/27/2019 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,341,10.21,04/24/2019 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,339,9.52,04/30/2019 12:00:00 AM
CARBON CNTY P,CARBON,RAINBOW,1000,9.76,01/08/2019 12:00:00 AM
CARBON CNTY P,CARBON,RAINBOW,1000,10.34,04/29/2019 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,499,10.17,03/11/2019 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,501,11.6,04/09/2019 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,500,10.77,04/22/2019 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,499,9.52,05/08/2019 12:00:00 AM
COLD SPRING LAKES,BOX ELDER,RAINBOW,1375,10.75,05/23/2019 12:00:00 AM
COTTONWOOD RES,UINTAH,RAINBOW,1659,10.78,04/15/2019 12:00:00 AM
COTTONWOOD RES,UINTAH,MUSKIE TIGER,3200,1.93,05/08/2019 12:00:00 AM
COVE POND,SALT LAKE,RAINBOW,563,11.99,03/25/2019 12:00:00 AM
COVE POND,SALT LAKE,RAINBOW,387,10.44,04/02/2019 12:00:00 AM
