Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,200,3.84,07/10/2007 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,3.84,07/10/2007 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1152,3.47,07/09/2007 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1152,3.47,07/09/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,255,10.75,05/25/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,748,10.75,05/25/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,648,9.210000000000001,06/20/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,351,9.210000000000001,06/20/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,8.89,07/06/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,9.720000000000001,07/20/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,9.720000000000001,08/02/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,10.02,08/14/2007 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,502,9.86,08/31/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,493,10.75,05/25/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,9.210000000000001,06/20/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,8.89,07/06/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,299,9.720000000000001,07/20/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,299,9.720000000000001,08/02/2007 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,10.02,08/14/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,921,9.73,06/08/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,966,9.57,06/18/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,923,9.48,06/27/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2215,4.07,06/28/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,936,9.44,07/18/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,949,9.85,07/30/2007 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,827,9.19,08/14/2007 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,1002,10.44,05/25/2007 12:00:00 AM
ANTIMONY L EMW,GARFIELD,RAINBOW,561,2.99,05/31/2007 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,5994,4.73,06/12/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,680,9.289999999999999,06/22/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,740,9.65,07/03/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,2498,6.96,07/13/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,2481,6.71,07/13/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,651,9.35,07/20/2007 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,1482,9.19,09/07/2007 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5016,1.54,09/21/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,559,9.65,05/03/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,701,9.93,05/23/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,700,10,06/05/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,701,10.34,06/26/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,444,11.28,07/17/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1287,10.96,08/08/2007 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,114,10.31,08/29/2007 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,235,9.960000000000001,05/29/2007 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,237,10.34,06/26/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1200,9.050000000000001,05/22/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1177,9.289999999999999,06/05/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1126,9.699999999999999,06/22/2007 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,509,4.45,06/29/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1211,9.65,07/03/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1068,9.68,07/17/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,139,9.56,07/17/2007 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1173,9.57,08/01/2007 12:00:00 AM
AUDRY L RC-45,DUCHESNE,BROOK TROUT,998,3.22,07/09/2007 12:00:00 AM
AVERETT CYN P,WASATCH,TIGER TROUT,350,3.84,07/10/2007 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,3915,5.24,02/15/2007 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,258,12.77,02/15/2007 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2197,8.83,04/02/2007 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2269,8.83,04/02/2007 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2269,8.83,04/02/2007 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2269,8.83,04/02/2007 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,620,13.69,11/26/2007 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,179,17.02,11/26/2007 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,300,13.7,12/17/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,448,12.72,02/07/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,405,13.23,03/05/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,268,10.63,03/13/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,263,13.27,03/13/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,339,11.08,04/09/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,500,10.36,10/03/2007 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1002,9.86,12/05/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,448,12.72,02/07/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,405,13.23,03/05/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,263,13.27,03/13/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,268,10.63,03/13/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,339,11.08,04/09/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,500,10.36,10/03/2007 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1002,9.86,12/05/2007 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,2001,9.75,05/15/2007 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,503,3.22,07/12/2007 12:00:00 AM
BARKER RES NCL,GARFIELD,GRAYLING ARCTIC,499,1.5,07/31/2007 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,1001,9.75,05/15/2007 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,248,3.22,07/12/2007 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,GRAYLING ARCTIC,499,1.5,07/31/2007 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,1000,4.84,08/06/2007 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,7007,1.53,09/19/2007 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1500,3.84,07/10/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5159,7.63,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5025,7.63,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5025,7.63,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5025,7.63,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5200,7.6,04/25/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5160,7.72,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5225,7.72,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5600,7.42,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5600,7.42,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5600,7.42,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5600,7.42,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5160,7.72,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5160,7.72,04/26/2007 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5288,7.66,04/27/2007 12:00:00 AM
