Water name,County,Species,Quantity,Average length,Date stocked
12 SECRET,SANPETE,BROOK TROUT,178,3.04,07/17/2002 12:00:00 AM
ABERDUNK L FL,SEVIER,TIGER TROUT,201,3.32,06/25/2002 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,2967,3.32,06/25/2002 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2295,2.54,06/24/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,8.9,06/03/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1001,8.470000000000001,06/17/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,999,9,07/01/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,999,9,07/15/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,9,07/31/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1001,9.789999999999999,08/12/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,9.789999999999999,08/28/2002 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,9.66,09/10/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,499,8.9,06/03/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,500,8.470000000000001,06/17/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,9,07/01/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,9,07/15/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,9,07/31/2002 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,499,9.789999999999999,08/12/2002 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1252,10.050000000000001,07/23/2002 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2003,2.86,07/23/2002 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1248,10.29,08/01/2002 12:00:00 AM
ANDREWS HOLE,SANPETE,BROOK TROUT,356,3.04,07/17/2002 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,479,9.59,05/17/2002 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6000,3.3,05/14/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,940,8.26,06/06/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,835,9.58,06/20/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1001,8.26,06/25/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,628,8.26,07/01/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,501,8.26,07/04/2002 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,635,9.34,07/12/2002 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,1330,8.949999999999999,05/23/2002 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,670,9.58,06/24/2002 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,665,8.949999999999999,05/23/2002 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,336,9.58,06/24/2002 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1105,8.99,05/22/2002 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,861,10.06,07/20/2002 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,500,2.94,07/29/2002 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3520,7.47,02/06/2002 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3520,7.47,03/05/2002 12:00:00 AM
