Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,198,2.78,07/06/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,3000,9.41,02/28/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.210000000000001,05/09/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.210000000000001,06/06/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,999,9.41,09/13/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1078,9.630000000000001,10/01/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1000,9.630000000000001,10/03/2012 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,560,7.64,11/06/2012 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2300,2.3,06/25/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,400,9.98,06/12/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,10.119999999999999,06/16/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1002,9.210000000000001,07/16/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1001,8.94,07/31/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,8.94,08/13/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,9.220000000000001,08/27/2012 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,502,9.14,09/20/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,9.98,06/12/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,700,10.119999999999999,06/16/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,800,9.210000000000001,07/16/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,399,8.94,07/31/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,399,8.94,08/13/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,381,9.220000000000001,08/27/2012 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,499,9.14,09/20/2012 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1808,10.15,05/24/2012 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2043,2.8,06/18/2012 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1860,10.57,06/21/2012 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1332,10.7,07/17/2012 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,805,10.09,05/22/2012 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,605,9.81,06/11/2012 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6790,3.72,06/12/2012 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,533,10.99,06/26/2012 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,566,10.56,07/16/2012 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,300,11.13,08/08/2012 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5425,2.36,09/13/2012 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,3006,2.58,09/20/2012 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,400,9.550000000000001,05/15/2012 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,420,9.550000000000001,05/21/2012 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,990,3.03,05/22/2012 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,414,9.41,06/15/2012 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,413,10,07/06/2012 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,415,10,07/06/2012 12:00:00 AM
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2105,2.3,07/09/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,781,10.08,05/24/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,846,10.47,06/06/2012 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,523,2.63,06/06/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,837,10.71,07/02/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,791,10.71,07/02/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,502,10.95,07/11/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,812,10.46,07/17/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,836,10.3,07/19/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,836,10.3,07/19/2012 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,764,11.13,08/08/2012 12:00:00 AM
ATWINE L X-64,DUCHESNE,BROOK TROUT,1345,2.3,07/10/2012 12:00:00 AM
ATWOOD L U-16,DUCHESNE,GOLDEN TROUT,10301,1.3,09/24/2012 12:00:00 AM
AUDRY L RC-45,DUCHESNE,BROOK TROUT,998,2.3,06/25/2012 12:00:00 AM
AVERETT CYN P,WASATCH,CUTTHROAT,102,7.38,08/13/2012 12:00:00 AM
BAKER L BR-45,SUMMIT,TIGER TROUT,363,3.16,07/04/2012 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW ALBINO,136,19.88,02/05/2012 12:00:00 AM
