Water Name,County,Species,Quantity,Ave Length,Date
BAKER SP,BOX ELDER,RAINBOW,747,11.28,12/18/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,623,11.98,02/25/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,611,11.53,03/10/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,113,16.18,03/28/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,73,12.84,03/28/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,161,12.31,03/28/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,915,11.75,04/04/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,498,9.84,09/23/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,821,10.45,12/03/2008 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1763,10.210000000000001,12/08/2008 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,2002,9.76,05/21/2008 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,510,3.2,07/07/2008 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,1000,9.76,05/21/2008 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,255,3.2,07/07/2008 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,1000,4.08,07/22/2008 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,7202,2.18,09/17/2008 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1476,2.75,07/15/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5530,7.42,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5336,7.52,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5530,7.42,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5530,7.42,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5530,7.42,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5336,7.52,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5503,7.52,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5336,7.52,04/28/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4659,7.6,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4918,7.6,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5176,7.6,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4853,7.6,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/29/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4591,7.77,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4530,7.77,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4712,7.77,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4681,7.77,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5925,7.42,04/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5142,7.57,05/01/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5240,7.57,05/01/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5109,7.57,05/01/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5371,7.57,05/01/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4459,7.64,05/02/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3822,7.64,05/02/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,2548,7.64,05/02/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4141,7.64,05/02/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3950,7.42,06/30/2008 12:00:00 AM
BEAR L,RICH,CUTTHROAT,2370,7.42,06/30/2008 12:00:00 AM
BEAR L G-7,SUMMIT,BROOK TROUT,2000,2.92,07/09/2008 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,299,10.28,06/17/2008 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,322,10.28,07/02/2008 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,200,10.28,07/17/2008 12:00:00 AM
BEARD L U-74,DUCHESNE,BROOK TROUT,450,2.92,07/10/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,10.28,07/01/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,10.44,07/11/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW ALBINO,49,10.96,07/16/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,10.28,07/22/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,199,10.14,08/04/2008 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW ALBINO,49,11.16,08/12/2008 12:00:00 AM
BEAVER DAMS NBS,WAYNE,BROOK TROUT,760,4.14,07/07/2008 12:00:00 AM
BEAVER DAMS NBS,WAYNE,CUTTHROAT,2052,2.21,09/23/2008 12:00:00 AM
BEAVER L BR-10,SUMMIT,RAINBOW,2015,9.93,06/25/2008 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,1001,9.9,05/15/2008 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,8023,3.93,05/15/2008 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,4510,3.93,05/15/2008 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,1001,9.81,06/17/2008 12:00:00 AM
BECKY L WR-77,DUCHESNE,BROOK TROUT,330,2.92,07/10/2008 12:00:00 AM
BEE TREE,SANPETE,BROOK TROUT,251,3.74,08/06/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,1101,9.58,06/02/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,300,9.880000000000001,06/02/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,549,9.36,06/09/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,150,9.880000000000001,06/09/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,149,10.47,06/19/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,549,9.81,06/19/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,151,11.03,06/27/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,552,9.24,06/27/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,549,9.24,06/30/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,149,11.03,06/30/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,150,10.16,07/09/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,550,8.98,07/09/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,500,9.75,07/23/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,198,10.31,07/23/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,149,11.47,08/05/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,552,10.57,08/05/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,552,10.57,08/12/2008 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW ALBINO,150,11.47,08/12/2008 12:00:00 AM
BESS L BTN,GARFIELD,BROOK TROUT,255,3.2,07/07/2008 12:00:00 AM
BETH L A-6,SUMMIT,BROOK TROUT,500,2.92,07/08/2008 12:00:00 AM
BETSEY L X-7,DUCHESNE,CUTTHROAT,3998,1.42,09/24/2008 12:00:00 AM
"BIG HOLLOW, UPPER",GARFIELD,CUTTHROAT,455,2.01,09/16/2008 12:00:00 AM
BIG L,SEVIER,RAINBOW,2170,10.23,06/09/2008 12:00:00 AM
BIG L,SEVIER,RAINBOW,2030,10.23,06/09/2008 12:00:00 AM
BIG L,SEVIER,RAINBOW,2019,10.23,06/09/2008 12:00:00 AM
BIG L,SEVIER,RAINBOW,283,9.82,06/12/2008 12:00:00 AM
BIG L BTS,GARFIELD,BROOK TROUT,213,3.2,07/07/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,2103,7.99,04/23/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,2103,7.99,04/23/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,30282,2.9,05/06/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,31215,2.94,05/16/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,7777,2.77,05/16/2008 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,67,9.550000000000001,06/30/2008 12:00:00 AM
BIRCH CR POND,RICH,RAINBOW,1202,9.279999999999999,05/19/2008 12:00:00 AM
BIRCH CR RES,RICH,TIGER TROUT,30033,3.17,06/20/2008 12:00:00 AM
BLACKSMITH FK,CACHE,RAINBOW,502,9.52,06/05/2008 12:00:00 AM
BLACKSMITH FK,CACHE,RAINBOW,500,10.14,07/01/2008 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,2216,9.5,04/16/2008 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,684,9.76,05/14/2008 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,1570,10.84,08/25/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,2288,9.39,04/16/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1813,9.76,05/14/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW ALBINO,1000,9.94,05/29/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,TIGER TROUT,4500,4.49,07/29/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1034,10.84,08/25/2008 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1034,10.84,08/25/2008 12:00:00 AM
DUCK CR,KANE,RAINBOW,494,9.89,06/03/2008 12:00:00 AM
BLIND L NBS,WAYNE,RAINBOW,2948,2.97,07/07/2008 12:00:00 AM
BLIND L NBS,WAYNE,SPLAKE,750,3.98,07/07/2008 12:00:00 AM
BLIND L NBS,WAYNE,CUTTHROAT,10100,2.21,09/23/2008 12:00:00 AM
BLUE L,SAN JUAN,RAINBOW,630,10.199999999999999,07/02/2008 12:00:00 AM
BLUE L,SANPETE,TIGER TROUT,1000,2.74,07/07/2008 12:00:00 AM
BLUE L,SANPETE,GRAYLING ARCTIC,1000,1.17,07/28/2008 12:00:00 AM
BLUE L GT,GARFIELD,BROOK TROUT,510,3.2,07/07/2008 12:00:00 AM
BLUE RIBBON #3,SANPETE,BROOK TROUT,112,3.74,08/06/2008 12:00:00 AM
BLUE RIBBON #4,SANPETE,BROOK TROUT,112,3.74,08/06/2008 12:00:00 AM
BOBS HOLE NBS,WAYNE,BROOK TROUT,612,3.2,07/07/2008 12:00:00 AM
BOBS L G-73,SUMMIT,TIGER TROUT,1320,2.75,07/09/2008 12:00:00 AM
BOLLEY L U-96,DUCHESNE,CUTTHROAT,982,1.42,09/24/2008 12:00:00 AM
BONNIE L Z-6,DUCHESNE,BROOK TROUT,600,2.92,07/08/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,150,9.880000000000001,06/09/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,549,9.36,06/09/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,500,9.81,06/17/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,105,10.47,06/17/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,101,10.47,06/19/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,499,9.81,06/19/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,500,9.81,06/20/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,101,10.47,06/20/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,101,11.03,06/27/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,501,9.24,06/27/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,501,9.24,06/30/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,99,11.03,06/30/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,99,10.16,07/09/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,499,8.98,07/09/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,475,9.75,07/23/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,132,10.31,07/23/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,552,10.57,08/05/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,101,11.47,08/05/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW ALBINO,101,11.47,08/12/2008 12:00:00 AM
