Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,175,3.55,06/27/2016 12:00:00 AM
"ABES POND, UPPER",SEVIER,CUTTHROAT,76,1.96,09/20/2016 12:00:00 AM
ABES RES,SEVIER,CUTTHROAT,113,1.96,09/20/2016 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3003,3.55,06/29/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,999,9.36,03/08/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1502,9.84,03/16/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1498,9.48,03/29/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,2000,9.32,04/18/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,2000,9.36,04/27/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.76,05/12/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1500,9.73,05/19/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,WIPER,1841,8.48,06/15/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,WIPER,1390,7.94,06/30/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,BASS LARGEMOUTH,1708,1.84,08/16/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.14,09/07/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1599,9.14,09/12/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,SUNFISH BLUEGILL,11000,2.92,09/22/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.31,09/27/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,2000,9.31,10/11/2016 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,999,9.41,10/24/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,399,9.41,06/02/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1002,9.289999999999999,06/20/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,998,9.31,06/28/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,9.119999999999999,07/21/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,9.119999999999999,08/01/2016 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,9.119999999999999,08/15/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,399,9.41,06/02/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,699,9.289999999999999,06/20/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,801,9.31,06/28/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,401,9.119999999999999,07/21/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,401,9.119999999999999,08/01/2016 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,299,9.119999999999999,08/15/2016 12:00:00 AM
AMOEBA L X-90,DUCHESNE,CUTTHROAT,636,1.47,09/20/2016 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1904,9.880000000000001,06/15/2016 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2006,2.19,06/24/2016 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1989,9.94,07/11/2016 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1112,10.37,08/01/2016 12:00:00 AM
ANGEL L WR-19,DUCHESNE,CUTTHROAT,545,1.47,09/20/2016 12:00:00 AM
ANN L WR-74,DUCHESNE,CUTTHROAT,272,1.47,09/20/2016 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,403,9.91,06/13/2016 12:00:00 AM
"ANSON L, UPPER GR-10",DAGGETT,TIGER TROUT,997,3.62,07/14/2016 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6094,4.83,06/09/2016 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,351,10.029999999999999,06/16/2016 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,4200,3.9,06/21/2016 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,266,9.960000000000001,06/29/2016 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,119,10.35,06/29/2016 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,263,10.1,07/12/2016 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5099,1.96,09/20/2016 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,203,8.48,06/24/2016 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,216,8.710000000000001,07/22/2016 12:00:00 AM
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2171,2.06,06/30/2016 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,512,2.02,05/24/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,844,9.49,05/24/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,844,9.49,06/10/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,819,9.869999999999999,06/21/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,830,10.35,06/29/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,829,10.1,07/13/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,691,10.56,07/26/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1034,10.3,08/08/2016 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,610,9.75,08/22/2016 12:00:00 AM
AVERETT CYN P,WASATCH,CUTTHROAT,101,8.18,07/19/2016 12:00:00 AM
BAKER L BR-45,SUMMIT,TIGER TROUT,356,3.62,07/14/2016 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,19950,3.35,03/15/2016 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3490,8.07,03/23/2016 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3526,10.06,10/04/2016 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,499,9.800000000000001,02/24/2016 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,499,9.83,03/09/2016 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,701,9.31,10/12/2016 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,698,9.57,11/08/2016 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,700,9.199999999999999,11/22/2016 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,499,9.800000000000001,02/24/2016 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,499,9.83,03/09/2016 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,701,9.31,10/12/2016 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,698,9.57,11/08/2016 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,700,9.199999999999999,11/22/2016 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,1499,9.210000000000001,05/17/2016 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,543,2.13,06/27/2016 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,500,9.210000000000001,05/17/2016 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,SPLAKE,196,3.13,06/27/2016 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,TIGER TROUT,203,3.55,06/27/2016 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,2007,7.04,06/14/2016 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,810,3.89,06/16/2016 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,5137,1.83,09/13/2016 12:00:00 AM
BARTHOLOMEW PARK POND,UTAH,RAINBOW,699,9.800000000000001,02/29/2016 12:00:00 AM
